land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket_km,crime_rate_index,room_size,property_value
201,177,3,1,0,1,1,0,3.3,1,10,0,6.8,0.90,0,165432
196,182,4,3,1,1,0,1,1.2,1,11,0,4.1,1.42,1,187043
198,182,4,4,1,1,0,1,5.9,0,20,0,2.1,4.12,1,148658
178,166,2,3,0,1,0,0,5.9,0,5,0,0.7,4.36,0,123785
183,165,3,1,1,1,0,0,3.8,1,8,0,0.7,0.42,0,156470
399,377,6,5,1,1,1,1,4.5,1,7,0,6.4,5.53,0,306596
337,334,5,3,1,0,1,1,0.2,1,14,0,2.1,0.89,0,283236
110,94,1,2,0,0,0,0,5.7,1,1,0,4.5,3.18,0,76026
170,159,3,4,1,0,1,0,3.4,0,22,0,3.5,4.84,1,121398
128,116,1,2,0,0,1,0,0.8,0,1,0,5.4,4.98,1,105593
220,189,3,1,0,0,0,0,3.9,0,1,0,5.7,1.94,1,149798
350,330,5,3,1,1,1,1,5.3,1,5,0,4.4,2.77,0,294321
296,258,4,2,1,1,0,1,6.5,1,2,0,3.6,4.66,0,240550
209,184,3,3,1,1,0,0,6.2,1,3,0,1.6,3.60,0,163884
207,187,3,3,1,1,0,0,1.6,0,11,0,6.4,1.70,1,156310
177,154,3,3,1,1,0,1,1.6,1,10,0,3.1,5.63,1,160441
291,283,4,3,1,1,0,1,5.9,0,8,0,3.1,4.96,0,215767
242,211,5,2,1,1,1,1,5.3,1,14,0,1.7,1.10,1,223955
132,129,1,2,0,0,0,0,1.4,0,5,0,5.4,0.85,1,99461
277,247,4,5,1,1,1,1,1.8,0,18,0,4.2,1.21,0,220432
172,164,3,4,1,1,0,0,2.6,1,12,0,3.6,2.04,0,148221
203,192,4,4,0,1,1,1,6.4,1,12,0,1.9,3.10,1,181712
181,156,3,1,1,1,0,1,1.9,0,9,0,6.7,1.33,1,149638
227,207,4,3,0,1,1,1,5.8,0,6,0,3.9,4.43,1,177378
321,306,5,2,1,1,1,1,2.2,1,20,0,2.8,2.70,1,264197
484,462,7,5,1,1,1,1,6.1,1,21,0,3.8,2.26,2,387376
170,148,3,3,1,0,1,0,5.1,0,12,0,3.5,5.68,1,118435
190,178,2,2,0,1,0,0,0.1,0,16,0,4.3,3.85,1,145854
302,300,5,4,1,0,1,1,2.8,1,3,0,4.4,3.87,0,254455
117,115,1,1,0,0,0,0,2.4,0,6,0,6.8,4.98,1,77871
260,224,4,3,1,1,0,1,6.9,1,7,0,2.7,1.25,0,221912
271,266,5,2,1,1,1,1,1.3,1,1,0,4.6,3.85,1,244207
151,135,3,2,0,1,0,1,1.4,0,10,0,4.4,4.86,1,125534
533,519,7,8,1,1,1,1,6.4,1,8,0,6.7,2.41,0,423665
103,93,1,1,0,0,0,0,3.2,1,8,0,1.6,3.44,1,79728
173,168,2,3,1,0,0,1,0.5,0,11,0,3.7,4.40,0,140451
212,192,3,1,1,0,0,0,2.2,1,11,0,2.2,4.14,0,156980
228,204,3,4,0,0,1,0,2.6,1,2,0,5.4,3.75,1,187637
283,269,5,3,0,1,1,1,2.2,1,20,0,6.6,2.63,0,236224
240,217,3,1,1,0,0,0,2.1,0,5,0,6.2,3.47,1,162263
239,205,3,4,0,1,1,0,3.5,0,1,0,4.8,5.53,0,180367
362,340,6,7,1,1,1,1,6.2,0,11,0,1.9,0.63,1,290303
357,343,5,3,1,1,0,1,0.1,1,15,0,2.2,5.44,0,305001
177,168,2,2,0,1,0,0,3.1,0,13,1,6.2,5.39,2,143831
145,143,1,2,1,0,0,0,1.8,0,13,0,5.5,2.13,0,103222
189,162,3,4,0,1,0,1,4.5,1,1,1,5.3,1.13,1,187392
126,118,2,2,0,1,0,0,3.3,0,19,0,5.4,3.40,0,87038
353,350,5,5,1,1,1,1,5.4,1,6,0,0.8,3.74,0,294390
245,213,5,3,1,1,1,1,3.7,1,4,0,3.1,1.28,0,226855
297,257,5,5,1,1,1,0,1.5,1,18,0,1.2,2.31,0,240581
214,183,4,3,0,1,0,0,4.6,1,11,0,2.2,0.16,1,171338
238,224,4,4,0,1,1,1,1.3,1,8,0,0.6,1.26,1,220779
178,161,2,2,0,0,0,0,4.6,0,1,0,5.4,2.78,1,121390
323,282,5,4,1,1,0,1,6.1,0,11,0,6.3,0.63,1,241221
