land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school_km,wall_fence,house_age_or_renovated,water_front,distance_to_supermarket_km,property_value
201,177,3,1.0,0,1,1,0,3.3,1,10,0,6.8,167611.0
196,182,4,3.0,1,1,0,1,1.2,1,11,0,4.1,
198,182,4,4.0,1,1,0,1,5.9,0,20,0,2.1,154628.0
178,166,2,3.0,0,1,0,0,5.9,0,5,0,,133099.0
183,165,3,1.0,1,1,0,0,3.8,1,8,0,0.7,158481.0
399,377,6,5.0,1,1,1,1,4.5,1,7,0,6.4,323935.0
337,334,5,3.0,1,0,1,1,0.2,1,14,0,2.1,285076.0
110,94,1,2.0,0,0,0,0,5.7,1,1,0,4.5,84138.0
170,159,3,4.0,1,0,1,0,3.4,0,22,0,3.5,128057.0
128,116,1,2.0,0,0,1,0,0.8,0,1,0,5.4,113370.0
220,189,3,,0,0,0,0,3.9,0,1,0,5.7,150705.0
350,330,5,3.0,1,1,1,1,5.3,1,5,0,4.4,299185.0
296,258,4,2.0,1,1,0,1,6.5,1,2,0,3.6,248867.0
209,184,3,3.0,1,1,0,0,6.2,1,3,0,1.6,172269.0
207,187,3,3.0,1,1,0,0,1.6,0,11,0,6.4,157112.0
177,154,3,3.0,1,1,0,1,1.6,1,10,0,3.1,168632.0
291,283,4,3.0,1,1,0,1,5.9,0,8,0,3.1,226140.0
242,211,5,2.0,1,1,1,1,5.3,1,14,0,1.7,224431.0
132,129,1,2.0,0,0,0,0,1.4,0,5,0,5.4,99576.0
277,247,4,5.0,1,1,1,1,1.8,0,18,0,4.2,224000.0
172,164,3,4.0,1,1,0,0,2.6,1,12,0,3.6,152976.0
203,192,4,4.0,0,1,1,1,6.4,1,12,0,1.9,184841.0
181,156,3,1.0,1,1,0,1,1.9,0,9,0,6.7,151055.0
227,207,4,3.0,0,1,1,1,5.8,0,6,0,,184239.0
321,306,5,2.0,1,1,1,1,2.2,1,20,0,2.8,265412.0
484,462,7,5.0,1,1,1,1,6.1,1,21,0,3.8,376059.0
170,148,3,3.0,1,0,1,0,5.1,0,12,0,3.5,128339.0
190,178,2,2.0,0,1,0,0,0.1,0,16,0,4.3,151553.0
302,300,5,4.0,1,0,1,1,2.8,1,3,0,4.4,261506.0
117,115,1,1.0,0,0,0,0,2.4,0,6,0,6.8,85799.0
260,224,4,3.0,1,1,0,1,6.9,1,7,0,2.7,
271,266,5,2.0,1,1,1,1,1.3,1,1,0,4.6,246544.0
151,135,3,,0,1,0,1,1.4,0,10,0,4.4,135860.0
