land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,large_living_room,parking_space,front_garden,swimming_pool,distance_to_school_km,wall_fence,house_age_or_renovated,water_front,distance_to_supermarket_km,property_value
201,177,3,1,0,1,1,0,3.3,1,10,0,6.8,167611
196,182,4,3,1,1,0,1,1.2,1,11,0,4.1,186945
198,182,4,4,1,1,0,1,5.9,0,20,0,2.1,154628
178,166,2,3,0,1,0,0,5.9,0,5,0,0.7,133099
183,165,3,1,1,1,0,0,3.8,1,8,0,0.7,158481
399,377,6,5,1,1,1,1,4.5,1,7,0,6.4,323935
337,334,5,3,1,0,1,1,0.2,1,14,0,2.1,285076
110,94,1,2,0,0,0,0,5.7,1,1,0,4.5,84138
170,159,3,4,1,0,1,0,3.4,0,22,0,3.5,128057
128,116,1,2,0,0,1,0,0.8,0,1,0,5.4,113370
220,189,3,1,0,0,0,0,3.9,0,1,0,5.7,150705
350,330,5,3,1,1,1,1,5.3,1,5,0,4.4,299185
296,258,4,2,1,1,0,1,6.5,1,2,0,3.6,248867
209,184,3,3,1,1,0,0,6.2,1,3,0,1.6,172269
207,187,3,3,1,1,0,0,1.6,0,11,0,6.4,157112
177,154,3,3,1,1,0,1,1.6,1,10,0,3.1,168632
291,283,4,3,1,1,0,1,5.9,0,8,0,3.1,226140
242,211,5,2,1,1,1,1,5.3,1,14,0,1.7,224431
132,129,1,2,0,0,0,0,1.4,0,5,0,5.4,99576
277,247,4,5,1,1,1,1,1.8,0,18,0,4.2,224000
172,164,3,4,1,1,0,0,2.6,1,12,0,3.6,152976
203,192,4,4,0,1,1,1,6.4,1,12,0,1.9,184841
181,156,3,1,1,1,0,1,1.9,0,9,0,6.7,151055
227,207,4,3,0,1,1,1,5.8,0,6,0,3.9,184239
321,306,5,2,1,1,1,1,2.2,1,20,0,2.8,265412
484,462,7,5,1,1,1,1,6.1,1,21,0,3.8,376059
170,148,3,3,1,0,1,0,5.1,0,12,0,3.5,128339
190,178,2,2,0,1,0,0,0.1,0,16,0,4.3,151553
302,300,5,4,1,0,1,1,2.8,1,3,0,4.4,261506
117,115,1,1,0,0,0,0,2.4,0,6,0,6.8,85799
260,224,4,3,1,1,0,1,6.9,1,7,0,2.7,226731
271,266,5,2,1,1,1,1,1.3,1,1,0,4.6,246544
151,135,3,2,0,1,0,1,1.4,0,10,0,4.4,135860
533,519,7,8,1,1,1,1,6.4,1,8,0,6.7,429728
103,93,1,1,0,0,0,0,3.2,1,8,0,1.6,86758
173,168,2,3,1,0,0,1,0.5,0,11,0,3.7,151869
212,192,3,1,1,0,0,0,2.2,1,11,0,2.2,166050
228,204,3,4,0,0,1,0,2.6,1,2,0,5.4,190353
283,269,5,3,0,1,1,1,2.2,1,20,0,6.6,241213
240,217,3,1,1,0,0,0,2.1,0,5,0,6.2,166322
239,205,3,4,0,1,1,0,3.5,0,1,0,4.8,191003
362,340,6,7,1,1,1,1,6.2,0,11,0,1.9,287151
357,343,5,3,1,1,0,1,0.1,1,15,0,2.2,313459
177,168,2,2,0,1,0,0,3.1,0,13,1,6.2,145180
145,143,1,2,1,0,0,0,1.8,0,13,0,5.5,108200
189,162,3,4,0,1,0,1,4.5,1,1,1,5.3,188037
126,118,2,2,0,1,0,0,3.3,0,19,0,5.4,93659
353,350,5,5,1,1,1,1,5.4,1,6,0,0.8,302704
245,213,5,3,1,1,1,1,3.7,1,4,0,3.1,230745
297,257,5,5,1,1,1,0,1.5,1,18,0,1.2,246619
214,183,4,3,0,1,0,0,4.6,1,11,0,2.2,169499
238,224,4,4,0,1,1,1,1.3,1,8,0,0.6,221067
178,161,2,2,0,0,0,0,4.6,0,1,0,5.4,124997
323,282,5,4,1,1,0,1,6.1,0,11,0,6.3,238567
152,142,2,3,0,0,0,0,4.4,0,11,0,3.2,104022
149,140,2,3,0,1,0,0,0.3,0,21,0,4.9,121854
238,205,3,2,0,1,0,1,3.8,1,22,0,6.3,195338
236,215,4,3,0,1,1,1,3.2,1,20,0,0.3,213763
256,233,5,5,1,1,1,1,4.7,1,11,0,0.8,241239
297,294,5,2,1,1,1,1,3.2,1,2,0,1.9,260821
475,451,7,6,1,1,1,1,5.3,1,17,0,2.1,367476
132,128,2,2,0,0,0,1,5.6,0,11,0,0.5,111192
