ActivityLog
"2021-09-10 Logged in at 12:30, Activity: Purchase"
"2021-09-11 Logged in at 14:15, Activity: Checkout"
"2021-09-12 Logged in at 10:05, Activity: Browse"
"2021-09-13 Logged in at 09:45, Activity: Purchase"
"2021-09-14 Logged in at 11:50, Activity: Browse"
"2021-09-15 Logged in at 13:20, Activity: Checkout"
"2021-09-16 Logged in at 12:15, Activity: Purchase"
"2021-09-17 Logged in at 09:35, Activity: Checkout"
"2021-09-18 Logged in at 15:00, Activity: Purchase"
"2021-09-19 Logged in at 10:25, Activity: Browse"
"2021-09-20 Logged in at 11:45, Activity: Purchase"
"2021-09-21 Logged in at 14:05, Activity: Checkout"
"2021-09-22 Logged in at 09:55, Activity: Browse"
"2021-09-23 Logged in at 11:30, Activity: Purchase"
"2021-09-24 Logged in at 14:40, Activity: Checkout"
"2021-09-25 Logged in at 12:05, Activity: Browse"
"2021-09-26 Logged in at 09:10, Activity: Purchase"
"2021-09-27 Logged in at 10:20, Activity: Checkout"
"2021-09-28 Logged in at 15:25, Activity: Browse"
"2021-09-29 Logged in at 09:00, Activity: Purchase"
