,id,company,description,role_name
0,_jwkPA5l_0wAAAAAAAAAAA==,Apple,"summary

apple is a place where extraordinary people gather to do their best work.

together we create products and experiences that people once couldn’t have envisioned - and now can’t imagine living without.

if you’re excited by the idea of making a real impact, and joining a team where we pride ourselves in being one of the most diverse and expansive companies in the world, a career with apple might be your dream job.

the emeia sales bpr team work closely and partner with colleagues across the business driving change and transformation across apple. this role will work as the interface between business and it data science and data engineering teams and is commonly referred to as a “citizen data scientist”,

leveraging the benefits of data science and machine learning within the tools and processes of the sales organisation we are looking for someone who is passionate about the power of data - working closely with sales and finance teams - to understand their processes and analytic needs.

we want somebody who can lead machine learning efforts from a sales perspective, partnering closely with is&t and sales finance.

you will work in a collaborative environment with minimal formal structure and should be comfortable in a changing environment with competing priorities.

you will possess proven business insight, a strong quantitative / technical background, natural curiosity, and the ability to effectively shift between communications styles based on the audience (technical peer review through leadership update).

key qualifications

innovative and strategic approach to reporting and business analytics.

superb interpersonal skills, both written and verbal - able to present complex analytics to an executive audience.

extraordinary data analytical skills, including the ability to model, interpret and present data in a way to zero in on what is most impactful.

a high level of accuracy and attention to detail, along with the ability to plan work and meet deadlines.

a propensity to unlock the potential of every relationship, through getting to know people, soliciting input and feedback from a wide variety of people.

appetite to push yourself, and others, in our quest for quality.

excellent time-management skills, the ability to work to tight goals and handle the pressure of last minute requests.

ability to translate technical content for non-technical audiences and vice-versa.

experience in eliciting business requirements and defining key sales performance and finance metrics.

experience in applying analytical techniques to provide solutions to real business problems.

strong verbal / written communication skills

creativity to go beyond current tools to deliver the best solution to the problem.

detail oriented and self-motivated individual able to function effectively when working independently or in a team.

description

partner with the key business teams to develop machine learning strategy and solutions for sales.

develop machine learning solutions to improve the speed, efficiency, and quality of decision making.

engage with business users to understand requirements and deliver tools/analytics that will support their needs.

manage project communications, implement change, and deliver training.

lead and/or participate in cross-functional teams to address business complexity issues from an analysis and process perspective and be the focal point of contact for systems escalations.

obsess over the user interface and user experience on solutions.

propose and implement new & innovative ways to enable the business to answer questions quickly

use expert analytical abilities to report on customer performance and in turn, help us to deliver an even better customer experience

develop early alert mechanisms through analytical insights in our sales data set and identify assignable actions to increase sell thru

utilise the appropriate statistical analytics techniques to find opportunities to optimise supply chain processes

champion the functions automation strategy by seeking opportunities for application of machine learning and robotic process automation techniques

education & experience

a bachelors or relevant experience .

a post-graduate qualification would be an advantage

role number: 200342392",machine-learning-engineer
1,4XcOxWNvHJQAAAAAAAAAAA==,Apple Inc.,"apple media products engineering (amp) are the team behind high profile services such as the apple arcade, apple music, apple tv+ and many more. the people here at apple don’t just build products — they build the kind of wonder that’s revolutionised entire industries. it’s the diversity of those people and their ideas that encourages the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. join apple, and help us leave the world better than we found it. we are looking for a world-class scientist to research ground breaking problems in applied computational statistics, reinforcement learning and adaptive optimisation. with this advanced expertise, we want this individual to develop novel solutions to power our customer engagement and marketing automation platforms. they will have the incredible opportunity to see their solutions deployed at apple’s truly incredible global scale. read about real examples of our work at our blog: https://machinelearning.apple.com/research/interpretable-adaptive-optimization

key qualifications
• proven knowledge of statistical methods, ml/ai patterns and toolsets. this should span the spectrum of probabilistic bayesian statistical models including mcmc, unsupervised, supervised and reinforcement learning algorithms, and model performance measurement.
• we will look for evidence of knowledge of both theoretical and practical aspects of such knowledge. theoretical knowledge will constitute understanding of statistical theory and ml algorithms. practical knowledge constitutes application of these algorithms and theory to the development of actual solutions to real-world problems
• evidence of active research contributions in the scientific sphere. this primarily includes primary and senior authorship of papers in leading conferences and journals. where appropriate, we would like to see a google scholar profile.
• proven grasp of the open-source python ml/ai tech stack. includes tensorflow/pytorch/pyro, keras/theano, scikit-learn, numpy-scipy-pandas.
• advanced level of technical competence in scientific software development. we will be expecting that this will include proficiency in well-structured python software development, and optionally r. typically, we will expect to see an active github profile and history of contributions.

description

the selected candidate will join a small, expert team responsible for developing and building solutions with a focus on using anonymised data & machine automation to improve amp and services. we are seeking a research-active machine learning scientist to work with us. someone to contribute to research and development in machine learning and statistics to help drive innovation and tooling both within the team and across the organisation. this individual will contribute to r&d in key areas of growth, including modelling short and long-term patterns in user behaviour, optimising and personalising interactions with users based on data, and auto-generation of interaction content. at apple, we put user privacy first while achieving these goals. we expect the individual to take the time to develop a deep understanding of business challenges in apple services, and find data-driven solutions to apply r&d to help address these challenges. this will involve conducting exploratory r&d, and validating and improving upon existing solutions. we expect that the individual will develop novel r&d outputs in the form of papers, blog posts and code. they will work with ml and data engineers to bring their best ideas to production. they will develop metrics to generate provable evidence of the value their work brings to our customer experience. they will also actively disseminate methods, capabilities and solutions across apple and beyond.

education & experience

master’s or phd in a quantitative field, including computer science, maths, statistics, physics, etc. typically, we will also expect experience in research-active positions post-phd, in academia or industry.

additional requirements
• the following skills and experience will be an additional plus:
• 1. knowledge of data technologies including but not exclusively: apache spark, airflow, kafka, etc.
• 2. cloud computing technologies like amazon aws, s3 and emr
• apple’s most important resource, our soul, is our people. apple benefits help further the well-being of our employees and their families in meaningful ways. no matter where you work at apple, you can take advantage of our health and wellness resources and time-away programmes. we’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy apple stock at a discount — both offer everyone at apple the chance to share in the company’s success. you’ll discover many more benefits of working at apple, such as programmes that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on apple products. apple benefits programmes vary by country and are subject to eligibility requirements. apple is an equal opportunity employer that is committed to inclusion and diversity. we take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities",machine-learning-engineer
2,vuRRZhMkxM0AAAAAAAAAAA==,Apple,"job description:

as part of apple’s machine learning and ai team, we transform every apple product and because we fully integrate hardware and software, we can collaborate to deliver amazing experiences while protecting user data. some people believe that in order to build insightful data analytics you need to sacrifice privacy. we see this as an opportunity to innovate. if you are passionate about privacy and analytics, we need your help!

job responsibilities:
• strong skills in object-oriented software design and programming
• proficient in one or more of python, strictly-typed oo languages e.g. java/scala and unix scripting.
• excellent problem solving, critical thinking, and communication skills
• background in differential privacy, federated learning and/or statistics
• fundamentals of systems and data engineering
• commitment to high quality, well-tested code, and automation.

job requirements/qualifications:

– work with software and research engineers to evaluate and implement algorithms for private data analytics.

– focus on driving utility for our users, with optimal algorithms, intuitive api, explainability to end-users and comprehensive documentation and experimental results.

– work on privacy-preserving model training, improve library while evaluating other industry and open source solutions e.g. tensorflow-privacy, opendp

– use distributed frameworks like apache spark to scale seamlessly in production.

– participate in code reviews and feedback with the entire team. you will share your expertise while continuously learning from colleagues.

– build features for a library, e.g. apis, backend services, ci/cd automation",machine-learning-engineer
3,939aLDouDQMAAAAAAAAAAA==,Apple,"summary

role number:200414940

apple media products is the team behind the app store, apple music, apple tv+, apple arcade, and many other high profile products on iphone, ipad, mac and appletv. our engineering team is looking for talented, performance-savvy, marketing operations specialists that can enable success of marketing and customer engagement programs by encouraging a close working relationship between business and engineering teams.

key qualifications
• experience in retention/lifecycle marketing (mobile marketing automation, crm operations, exposure to campaign tools, email service providers)
• solid understanding of technology (rest api responses, data types, databases)
• proven ability to build relationships and engage with cross-functional teams
• passion for learning new technologies
• experience integrating sdks of mobile marketing automation tools such as braze, localytics, swrve, sfmc. candidate will be responsible for migrating apple services onto internal marketing technology.

description

you will partner with our growth marketing organization, support their ongoing operations and be their point of contact within the engineering team. you will leverage a deep expertise of our customer engagement platform to empower our marketing teams to use our technology effectively through onboarding new teams, offering training, studying campaign requirements and making operational recommendations. you will be responsible for giving feedback to the engineering teams by carrying business context into product development prioritization meetings, capturing new requirements and providing feedback on new feature designs, raising bugs as you encounter them and helping test new functionality, providing initial enhancement suggestions. you will enjoy working in a multi-disciplinary team with engineers, data scientists, machine learning experts and ui/ux specialists. you will produce gap analysis and production support documents to improve the integration experience for new apple marketing projects. candidate will be expected to produce technical solutions architecture diagrams, engineering workflows and will be expected to work in agile-testing engineering structure. candidate will work with growth marketing organization, support their ongoing engagement and acquisition operations with past experience, and be their point of contact within the engineering team. you will debug ios applications with charles or other http proxy services. candidate will screen both apple services and internal client networking issues related to mobile marketing stack. candidate will be responsible for using internal rest apis to edit marketing campaigns as necessary.

education & experience

additional requirements
• experience of any of the following is an advantage:
• - technical account management/customer success experience
• - support engineering background
• - troubleshooting skills such as calling apis, inspecting browser network activity
• - ability to query campaign and logging data
• - experience with python or other interpreted languages, sql/pyspark
• apple's most important resource, our soul, is our people. apple benefits help further the well-being of our employees and their families in meaningful ways. no matter where you work at apple, you can take advantage of our health and wellness resources and time-away programmes. we're proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy apple stock at a discount - both offer everyone at apple the chance to share in the company's success. you'll discover many more benefits of working at apple, such as programmes that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on apple products. apple benefits programmes vary by country and are subject to eligibility requirements. apple is an equal opportunity employer that is committed to inclusion and diversity. we take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities",machine-learning-engineer
4,FBQmf2_9UVsAAAAAAAAAAA==,Apple,"summary
posted: 17 dec 2021
weekly hours: 35
role number:200324557

apple media products engineering are the team behind high profile services such as the apple arcade, apple music, apple tv+ and many more. we are looking for a world-class data engineer to help build the data pipelines and systems that power our customer engagement and marketing automation platforms.

the people here at apple don’t just build products — they build the kind of wonder that’s revolutionized entire industries. it’s the diversity of those people and their ideas that encourages the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. join apple, and help us leave the world better than we found it.

here you have a phenomenal opportunity to help build and evolve large-scale highly-available systems, with positions currently available as we grow our amazing london team.

key qualifications

key qualifications
• ability to develop software and data applications in scala, java or python
• prior experience with big data technologies (hadoop, spark, etls, distributed systems)
• track record of implementing and maintaining highly scalable data systems and services
• experience working with micro-services architectures
• manage the data architecture, scheduling and production of data pipelines & solutions
• strong communication and collaboration skills, working with cross-functional teams located internationally

description

description
you will be joining a small team responsible for developing and building solutions with a focus on leveraging anonymised data & machine automation to improve apple media products and services. you will bring your knowledge and expertise in data engineering to develop, architect and maintain large scale reliable data & machine learning pipelines.

this is your opportunity to help engineer highly visible global-scale data products with petabytes of data, supporting hundreds of millions of users. successful candidates will have strong engineering and interpersonal skills, as well as, a belief that data driven processes lead to phenomenal products.

you will need to have a real passion for quality and an ability to understand sophisticated systems. this role also includes a crucial thread of data privacy and security. this is a rare opportunity to join a focused team and work collaboratively with other groups to make a significant impact.

education & experience

education & experience

additional requirements

additional requirements
• nice to have
• - experience with streaming technologies including kafka, kinesis a plus.
• - experience deploying machine learning models & pipelines.
• - knowledge of piis and gdpr compliance to meet privacy standards
• apple’s most important resource, our soul, is our people. apple benefits help further the well-being of our employees and their families in meaningful ways. no matter where you work at apple, you can take advantage of our health and wellness resources and time-away programmes. we’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy apple stock at a discount — both offer everyone at apple the chance to share in the company’s success. you’ll discover many more benefits of working at apple, such as programmes that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on apple products. apple benefits programmes vary by country and are subject to eligibility requirements. apple is an equal opportunity employer that is committed to inclusion and diversity. we take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities",machine-learning-engineer
5,MoVatA1O0LIAAAAAAAAAAA==,Apple,"summary

as part of apple cloud platform, our team is responsible for building libraries and services which form the foundations of mission-critical systems at apple. as machine learning engineers we work with machine learning models, training and data pipelines from many different teams at apple, ensuring they are performant, available and optimized for the environment they will need to operate in, whether in the cloud or on device.

key qualifications

large-scale server side development experience:

expertise in library design / api evolution

practical experience training and evaluating machine learning models.

understanding of latest distributed ml training algorithms and systems.

asynchronous/streaming programming experience (e.g.reactivestreams ,dispatch ,combine,orsimilar)

swift + ios development experience.

experience in code optimisation and power/performance evaluation for modern device hardware ane,arm cpu/gpu, etc.

description

we write software in the swift and python programming languages to build services and infrastructure for machine learning; we write performance test frameworks, and run statistical analyses on different hardware deployments; we build jobs to extract transform and load data, and use machine learning platforms like tensorflow and pytorch to deliver ml training and inference. our software has a growing user base and the team is looking to expand to build amazing products making the team a truly exciting place to work.

we’re a collection of highly skilled and friendly engineers who value each other’s opinions and experience. we strive for excellence and believe strongly in the quality of our output. we have built a team of domain experts who specialise in specific core subject areas, and also have broad experience of cloud software services and platforms.

education & experience

b.s. in computer science or other numerate subject, with 6+ years experience; or m.s. in computer science or other numerate subject, with 4+ years experience

additional requirements

● quality focus - produce reliable, maintainable, deliverable software.

● comfortable diving deep-working across multiple levels of abstraction.

● good at handling relationships & communication.

● collaborate well with colleagues across a wide range of functions.

role number: 200416316",machine-learning-engineer
6,54o5Y3ZAwWoAAAAAAAAAAA==,Apple,"summary

posted: sep 2, 2022

role number:200370848

apple's machine learning and ai teams transform every apple product and because we fully integrate software and hardware, we collaborate to deliver delightful experiences while protecting user data. some people believe that in order to build intelligent products using ml you need to sacrifice privacy. we see this as an opportunity to innovate. if you are passionate about privacy and machine learning, we need your help!

key qualifications
• ability and passion to deliver extraordinary results with minimal direction
• proficiency in 1 or 2 programming languages - e.g. python, java, c++
• track-record of shipping and maintaining code in production. commitment to high quality, well-tested code, automation
• experience with object-oriented design, multi-threading and synchronisation
• familiarity with ml frameworks such as pytorch, tensorflow, or keras (knowledge of internals is a big plus)
• attention to detail, demonstrated via monitoring and debugging solutions
• excellent problem solving, critical thinking, and communication skills.

description

you will be working in the privacy-preserving ml (priml) team, at apple. we are responsible for developing technologies that enable ml with strong privacy guarantee, such as private federated learning (pfl). your valuable work will contribute to industry-leading technologies, making them mainstream and accessible apple-wide to unlock more ml-powered features. as a result, you will impact the lives of millions of apple users worldwide, and fulfil our mission to uphold user privacy to a high standard. you will contribute to all aspects of the ml lifecycle - namely - engineering to build the pfl system, integrations with ml infrastructure as well as on-device frameworks, and applied ml. you will help bridge the gap between fast-evolving research and practice in federated learning and differential privacy, by incorporating algorithms into efficient implementations - with experimentation and prototyping. in this process you will collaborate with ml engineers from other product teams, helping with modelling for their use case using our framework and in turn enhance the experience of hundreds of millions of users, all while preserving their privacy. you will review designs and code by others and provide constructive feedback. you will share your expertise and mentor others, while continuously learning from colleagues. if this is you, we'd love to hear from you! apple’s most important resource, our soul, is our people. apple benefits help further the well-being of our employees and their families in meaningful ways. no matter where you work at apple, you can take advantage of our health and wellness resources and time-away programs. we’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy apple stock at a discount — both offer everyone at apple the chance to share in the company’s success. you’ll discover many more benefits of working at apple, such as programs that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on apple products. apple benefits programs vary by country and are subject to eligibility requirements. apple is an equal opportunity employer that is committed to inclusion and diversity. we take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities. apple is a drug-free workplace.

education & experience

strong computer science fundamentals required - no matter how you got them.

additional requirements
• additional (""nice to have"") qualifications
• comfortable driving cross-functional projects on time
• understanding federated learning algorithms, differential privacy. at minimum, collaborating to interpret and incorporate literature into viable products.
• experience in applied ml modelling, from experimentation and prototyping to deployment
• experience with distributed systems, containerized execution, low-latency",machine-learning-engineer
7,67oQqWsMkFAAAAAAAAAAAA==,Apple,"summary: posted: jun 28, 2022 role number:200316036 apple's machine learning and ai team transform every apple product and because we fully integrate hardware and software, we can collaborate to deliver amazing experiences while protecting user data. the siri and languages technologies team build high quality solutions for all of apple’s international customers, and deliver them to their favorite apple devices, in over 40 languages and dialects. join us and drive data quality to help our language engineers bring siri to more users than ever before. key qualifications: native speaker fluency and cultural awareness of hebrew. knowledge of text processing, scripting (e.g python)and automation. highly organized with attention to detail and a commitment to quality. awareness of ml, nlp, tts, or speech recognition technologies. outstanding communication skills. project management skills, with cross-functional experience and ability to understand and prioritize tasks and issues. technical engineering, data science or machine learning background. description: the global siri team brings innovative solutions to complex engineering challenges, with focus on improving the end to end engineering and quality of siri's experiences for our international users. from speech recognition to natural language processing, machine learning, big data consumption, all the way to speech synthesis. be ready to develop robust scalable systems for siri's international languages, in partnership with a wide range of colleagues. as a data curation lead in global siri, you will drive and supervise several of the data curation efforts that fuel the pieces in siri’s technology pipeline. this will include defining data curation specifications for your language, reviewing and ensuring data quality, reporting accuracy metrics, and documenting conventions and processes. you will also lead failure analysis exercises aimed at improving the quality of the end-to-end experience for siri users in your market. this will include delivering hands-on data analysis tasks across the product’s stack, and triaging technical issues. we are looking for demonstrated ability to be creative, take ownership of a project, and a knack for solving problems that stump most accuracy improvement projects. if you have a desire to work collaboratively in cross-functional teams with design, product, data science, and research partners we'd love to hear from you! education & experience: b.a. or b.s. degree preferred, or experience in related fields additional requirements: apple’s most important resource, our soul, is our people. apple benefits help further the well-being of our employees and their families in meaningful ways. no matter where you work at apple, you can take advantage of our health and wellness resources and time-away programs. we’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy apple stock at a discount — both offer everyone at apple the chance to share in the company’s success. you’ll discover many more benefits of working at apple, such as programs that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on apple products. apple benefits programs vary by country and are subject to eligibility requirements. apple is an equal opportunity employer that is committed to inclusion and diversity. we take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities. apple is a drug-free workplace",machine-learning-engineer
8,CKC-Ph-Ia2kAAAAAAAAAAA==,Apple,"summary
posted: 2 sep 2022

role number:200289864

apple's machine learning and ai team transform every apple product and because we fully integrate hardware and software, we can collaborate to deliver amazing experiences while protecting user data.

privacy is a fundamental human right. at apple, it’s also one of our core values. your devices are important to so many parts of your life. what you share from those experiences, and whom you share it with, should be up to you. we design apple products to be personal to you but also protect your privacy and give you control over your information. it’s not always easy. but that’s the kind of innovation we believe in.

would you like to make an impact on this scale? join siri's personalisation & private learning team and help us create amazing personalised experiences.

key qualifications

key qualifications
• belief in the importance of privacy
• accomplished developer (e.g. java or c++)
• at home with shipping software products and distributed systems
• dedication to high quality, well-tested code, creating great user experiences
• extensive knowledge of algorithms, data structures and software engineering concepts
• shine when working collaboratively with peers on multi-faceted projects
• excellent problem solving, critical thinking and communication skill

description

description
siri is the world’s most popular intelligent assistant. available on iphone, ipad, mac, apple watch, homepod, and airpods, hundreds of millions of people can get things done - just by asking! the siri personalisation & private learning team at apple is responsible for developing technologies that create a more personal experience with a strong privacy guarantee.

you will design and implement creative innovations that run on devices; work with machine learning engineers to evaluate and implement groundbreaking algorithms; write code that processes more than 1 billion messages a day. you will review designs and code by others and provide constructive feedback. you will share your expertise and mentor others, while continuously learning from colleagues.

proficiency in objective-c, swift or python; knowledge of nlp; familiarity with machine learning are areas of skill you will develop in this role.

based in cambridge, we work closely with teams across apple worldwide. this means occasional evening meetings with teams outside uk, and limited international travel may be required.

if this is you, we'd love to hear from you!

education & experience

education & experience
strong computer science fundamentals required - no matter how you got them.

additional requirements

additional requirements
• apple’s most important resource, our soul, is our people. apple benefits help further the well-being of our employees and their families in meaningful ways. no matter where you work at apple, you can take advantage of our health and wellness resources and time-away programs. we’re proud to provide stock grants to employees at all levels of the company, and we also give employees the option to buy apple stock at a discount — both offer everyone at apple the chance to share in the company’s success. you’ll discover many more benefits of working at apple, such as programs that match your charitable contributions, reimburse you for continuing your education and give you special employee pricing on apple products.
• apple benefits programs vary by country and are subject to eligibility requirements.
• apple is an equal opportunity employer that is committed to inclusion and diversity. we take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities. apple is a drug-free workplace",machine-learning-engineer
9,DcciqzTTcEgAAAAAAAAAAA==,Apple,"summary
posted: 12 may 2022
weekly hours: 35
role number:200377407

we are seeking a world-class data engineer to join the data engineering team within apple media products. amp (home to apple music, app store, itunes and other services that millions of customers use every single day) has some of the most compelling data in the world.

we are looking for a talented engineer who is motivated by meaningful problems and well versed with big data technologies. this is a rare opportunity to join a focused team and work collaboratively with other groups to make a significant impact.

key qualifications

key qualifications
• languages: java or scala
• working knowledge on the following distributed data processing platforms: spark, hadoop
• great if you also know: kafka, java map reduce, python
• algorithms: you will be working on crafting new algorithms to process large scale data efficiently.
• we expect you to know: basic computer science algorithms, data structures and distributed algorithms to process and mine data
• great, but not required, if you also know about how to develop: graph, data classification and clustering algorithms in distributed environment
• good debugging, critical thinking, and communication skills
• knowledge in engineering machine learning, feature engineering systems is a plus.
• able to capture cross-functional requirements and translate them into practical engineering tasks
• bonus points for experience in the music space
• 3+ years of programming experience

description

description
as a member of the data engineering team, you will have significant responsibility and influence in crafting its future direction. this role is inherently cross-functional and the ideal candidate will work across disciplines. we are looking for someone with a love for data and ability to iterate quickly on all stages of data pipeline. this position involves working on a small team to develop large scale data pipelines and analytical solutions using bigdata technologies. successful candidates will have strong engineering skills and communication, as well as, a belief that data driven processes lead to phenomenal products. you will need to have a real passion for quality and an ability to understand complex systems. if this sounds like you, then we would love to hear from you.

education & experience

education & experience
bachelors or masters degree in computer science, mathematics, or meaningful industry experience preferred

additional requirements

additional requirements
• apple is an equal opportunity employer that is committed to inclusion and diversity. we also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants",machine-learning-engineer
